Index,Location,Density,Rent,Rate,Latitude,Longitude
1,BTM,5124,10140,2.740983607,12.917,77.61
2,HSR,2523,14600,2.938604836,12.912,77.645
3,Koramangala 5th Block,2504,12300,3.709864217,12.935,77.62
4,JP Nagar,2235,10000,2.823489933,12.906,77.586
5,Whitefield,2144,17000,2.672294776,12.97,77.75
6,Indiranagar,2083,15000,3.394431109,12.978,77.641
7,Jayanagar,1926,11500,3.224818276,12.931,77.584
8,Marathahalli,1846,8700,2.768689057,12.957,77.701
9,Bannerghatta Road,1630,12400,2.657484663,12.76,77.656
10,Bellandur,1286,12400,2.774494557,12.93,77.678
11,Electronic City,1258,16000,2.33100159,12.845,77.66
12,Koramangala 1st Block,1238,12300,2.544184168,12.927,77.636
13,Brigade Road,1218,8000,3.200246305,12.971,77.607
14,Koramangala 7th Block,1181,12300,3.455884843,12.936,77.613
15,Koramangala 6th Block,1156,12300,3.519896194,12.938,77.623
16,Sarjapur Road,1065,13000,2.997370892,12.911,77.684
17,Ulsoor,1023,15000,3.119061584,12.982,77.628
18,Koramangala 4th Block,1017,12300,3.240511308,12.931,77.63
19,MG Road,918,20000,3.406427015,12.975,77.609
20,Banashankari,906,15000,2.997240618,12.925,77.547
21,Kalyan Nagar,853,15500,3.094724502,13.024,77.643
22,Richmond Road,812,28000,2.87955665,12.965,77.604615
23,Frazer Town,727,11250,2.834250344,12.997,77.614
24,Malleshwaram,725,15250,3.329241379,13.006,77.569
25,Basavanagudi,684,11600,3.193421053,12.941,77.574
26,Residency Road,675,25000,3.462962963,12.972,77.606
27,Banaswadi,664,11700,2.527259036,13.01,77.648
28,Brookefield,658,14700,2.979787234,12.965,77.718
29,New BEL Road,649,10000,2.88751926,13.03,77.571
30,Kammanahalli,648,20000,2.835493827,13.016,77.638
31,Rajajinagar,591,8600,2.820135364,12.998,77.553
32,Church Street,569,21000,3.830755712,12.974,77.653
33,Lavelle Road,529,22000,3.813610586,12.971,77.598
34,Shanti Nagar,511,8000,2.536594912,12.958,77.599
35,Shivajinagar,499,10000,1.942284569,12.986,77.606
36,Domlur,496,16000,2.928225806,12.961,77.639
37,Cunningham Road,491,12000,3.773930754,12.988,77.594
38,Old Airport Road,446,14000,2.933183857,12.955,77.6533
39,Ejipura,439,12000,2.059681093,12.939,77.631
40,Commercial Street,370,10000,2.597027027,12.982,77.608
41,St. Marks Road,352,25000,3.914488636,12.972,77.601
42,Koramangala 8th Block,320,12300,2.705625,12.941,77.618
43,Vasanth Nagar,295,13000,3.058983051,12.99,77.593
44,Jeevan Bhima Nagar,272,10000,3.303676471,12.964,77.658
45,Wilson Garden,246,17000,2.688211382,12.948,77.597
46,Bommanahalli,238,9300,1.930672269,12.903,77.624
47,Koramangala 3rd Block,216,11000,3.555092593,12.929,77.629
48,Kumaraswamy Layout,195,9300,2.860512821,12.904,77.565
49,Thippasandra,194,20000,2.425257732,12.972,77.653
50,Basaveshwara Nagar,191,12500,2.615706806,12.988,77.537
51,Nagawara,187,9000,2.941176471,13.035,77.624
52,Seshadripuram,165,15000,3.188484848,12.989,77.574
53,Hennur,161,10500,2.517391304,13.036,77.643
54,Majestic,155,13000,2.507741935,12.977,77.571
55,HBR Layout,153,26000,2.379084967,13.035,77.628
56,Infantry Road,151,55000,3.51986755,12.982,77.6
57,Race Course Road,139,12500,3.673381295,12.983,77.203
58,City Market,126,10000,2.133333333,12.966,77.576
59,Yeshwantpur,119,7000,3.296638655,13.025,77.534
60,"Varthur Main Road, Whitefield",117,7400,2.622222222,12.956,77.727
61,"ITPL Main Road, Whitefield",113,18500,2.468141593,12.987,77.742
62,South Bangalore,107,15000,2.908411215,17.071,76.416
63,Koramangala 2nd Block,102,12300,3.198039216,12.854,77.621
64,Hosur Road,102,16000,2.675490196,12.925,77.666
65,Kaggadasapura,101,10500,3.12970297,12.984,77.68
66,CV Raman Nagar,90,10500,2.357777778,12.979,77.664
67,Vijay Nagar,80,12000,2.88375,13.025,75.894
68,RT Nagar,80,15000,2.6225,12.976,77.595
69,Sanjay Nagar,76,16000,2.210526316,13.037,77.579
70,Sadashiv Nagar,63,16000,3.534920635,13.007,77.581
71,Sahakara Nagar,53,30000,3.08490566,13.062,77.587
72,Koramangala,48,12300,2.329166667,12.935,77.624
73,East Bangalore,44,12000,2.211363636,12.972,77.595
74,Jalahalli,38,15000,2.110526316,13.045,77.548
75,Magadi Road,34,20000,2.426470588,12.966,77.401
76,Rammurthy Nagar,32,10000,2.71875,13.008,77.674
77,Sankey Road,27,9000,3.818518519,12.957,77.584
78,Langford Town,27,20000,3.807407407,13,77.603
79,Old Madras Road,22,10500,3.181818182,12.637,77.726
80,Mysore Road,22,8000,2.827272727,13.029,77.13
81,Kanakapura Road,19,9000,3.478947368,12.745,77.488
82,KR Puram,18,12000,1.966666667,13.017,77.704
83,Uttarahalli,17,8500,1.858823529,12.907,77.552
84,North Bangalore,14,15000,2.385714286,12.937,77.447
85,Hebbal,14,14000,2.057142857,13.035,77.599
86,Nagarbhavi,9,16500,0.377777778,12.9,77.513
87,Kengeri,9,6250,3.722222222,12.972,77.483
88,Central Bangalore,8,10000,3.625,12.917,77.592
89,Yelahanka,6,7000,3.033333333,12.972,77.607
90,West Bangalore,6,10000,1.683333333,13.115,77.595
91,Jakkur,3,8000,0,13.063,77.621
92,Rajarajeshwari Nagar,2,7000,3.85,12.915,77.521
93,Peenya,1,7000,3.2,13.029,77.52
