Place,poi-lat,poi-long
Bangalore Palace,13.0035068,77.5890953
Tipu Sultan's Summer Palace,12.9593513,77.5736415
Lal Bagh,12.9507432,77.5847773
Cubbon Park ,12.9779291,77.5951549
JP park,13.032791,77.554699
Bangalore Fort,12.9628018,77.5758862
Bangalore Palace,13.0035068,77.5890953
Mayo Hill,12.9715987,77.5945627
Kempe Gowda Watch towers,12.9715987,77.5945627
Sapper War Memorial,12.9715602,77.606862
Jawaharlal Nehru Planetarium,12.9848665,77.5896341
Vidhana Soudha,12.9796734,77.5912443
Attara Kacheri,12.9794506,77.5928624
Governmet Museum,12.974708,77.5958609
Kempe Gowda Museum,12.9740416,77.6105171
Visvesvaraya Industrial and Technological Museum,12.9750417,77.5965348
Nandi Hills,13.370154,77.6834551
National Gallery of Modern Art,12.989705,77.58815
Devanahalli Fort,13.2494611,77.7090517
Wonder La,12.8349095,77.4009409
"ISKCON Temple, Rajajinagar",13.0102161,77.5511048
Bangalore Aquarium,12.9765148,77.5985397
Lumbini Gardens,13.0434124,77.6096254
St. Mary's Basilica,12.9843925,77.6044189
Bannerghatta National Park,12.8010043,77.5775256
Innovative Film City,12.8029626,77.3979797
"Nageshvara Temple, Begur",12.8767161,77.6263033
Dharmaraya Swamy Temple ,12.965507,77.5836466
Ranganathaswamy temple,12.9952125,77.5505532
Halasuru Someshwara Temple ,12.9755805,77.6240616
Gavi Gangadhareshwara Temple,12.9481464,77.5629406
"ISKCON Temple, Vaikuntha Hills",12.8924267,77.5487978
Brigade Road,12.9709909,77.6068996
Commercial Street,12.9821895,77.6083485
MG Road,12.9746983,77.609448
Chickpet,12.9709232,77.5763139
Mantri Square,12.9916302,77.5711719
HAL Aerospace Museum,12.954655,77.6809058
